"시점","동별(1)","동별(2)",구분별(1),구분별(2),데이터
"2024 2/4","합계","성북구",세대 (세대),소계,197371
"2024 2/4","합계","성북구",계 (명),소계,436666
"2024 2/4","합계","성북구",계 (명),남자,207814
"2024 2/4","합계","성북구",계 (명),여자,228852
"2024 2/4","합계","성북구",한국인 (명),소계,424194
"2024 2/4","합계","성북구",한국인 (명),남자,203323
"2024 2/4","합계","성북구",한국인 (명),여자,220871
"2024 2/4","합계","성북구",등록외국인 (명),소계,12472
"2024 2/4","합계","성북구",등록외국인 (명),남자,4491
"2024 2/4","합계","성북구",등록외국인 (명),여자,7981
"2024 2/4","합계","성북구",세대당인구 (명),소계,2.15
"2024 2/4","합계","성북구",65세이상고령자 (명),소계,81965
"2024 2/4","합계","강북구",세대 (세대),소계,143075
"2024 2/4","합계","강북구",계 (명),소계,290252
"2024 2/4","합계","강북구",계 (명),남자,139521
"2024 2/4","합계","강북구",계 (명),여자,150731
"2024 2/4","합계","강북구",한국인 (명),소계,285054
"2024 2/4","합계","강북구",한국인 (명),남자,137733
"2024 2/4","합계","강북구",한국인 (명),여자,147321
"2024 2/4","합계","강북구",등록외국인 (명),소계,5198
"2024 2/4","합계","강북구",등록외국인 (명),남자,1788
"2024 2/4","합계","강북구",등록외국인 (명),여자,3410
"2024 2/4","합계","강북구",세대당인구 (명),소계,1.99
"2024 2/4","합계","강북구",65세이상고령자 (명),소계,69922
"2024 2/4","합계","도봉구",세대 (세대),소계,138849
"2024 2/4","합계","도봉구",계 (명),소계,308060
"2024 2/4","합계","도봉구",계 (명),남자,148775
"2024 2/4","합계","도봉구",계 (명),여자,159285
"2024 2/4","합계","도봉구",한국인 (명),소계,305400
"2024 2/4","합계","도봉구",한국인 (명),남자,147847
"2024 2/4","합계","도봉구",한국인 (명),여자,157553
"2024 2/4","합계","도봉구",등록외국인 (명),소계,2660
"2024 2/4","합계","도봉구",등록외국인 (명),남자,928
"2024 2/4","합계","도봉구",등록외국인 (명),여자,1732
"2024 2/4","합계","도봉구",세대당인구 (명),소계,2.20
"2024 2/4","합계","도봉구",65세이상고령자 (명),소계,72365
"2024 2/4","합계","노원구",세대 (세대),소계,218369
"2024 2/4","합계","노원구",계 (명),소계,500045
"2024 2/4","합계","노원구",계 (명),남자,239443
"2024 2/4","합계","노원구",계 (명),여자,260602
"2024 2/4","합계","노원구",한국인 (명),소계,495183
"2024 2/4","합계","노원구",한국인 (명),남자,237415
"2024 2/4","합계","노원구",한국인 (명),여자,257768
"2024 2/4","합계","노원구",등록외국인 (명),소계,4862
"2024 2/4","합계","노원구",등록외국인 (명),남자,2028
"2024 2/4","합계","노원구",등록외국인 (명),여자,2834
"2024 2/4","합계","노원구",세대당인구 (명),소계,2.27
"2024 2/4","합계","노원구",65세이상고령자 (명),소계,98515
"2024 2/4","합계","은평구",세대 (세대),소계,216345
"2024 2/4","합계","은평구",계 (명),소계,468976
"2024 2/4","합계","은평구",계 (명),남자,221990
"2024 2/4","합계","은평구",계 (명),여자,246986
"2024 2/4","합계","은평구",한국인 (명),소계,464738
"2024 2/4","합계","은평구",한국인 (명),남자,220328
"2024 2/4","합계","은평구",한국인 (명),여자,244410
"2024 2/4","합계","은평구",등록외국인 (명),소계,4238
"2024 2/4","합계","은평구",등록외국인 (명),남자,1662
"2024 2/4","합계","은평구",등록외국인 (명),여자,2576
"2024 2/4","합계","은평구",세대당인구 (명),소계,2.15
"2024 2/4","합계","은평구",65세이상고령자 (명),소계,96177
"2024 2/4","합계","서대문구",세대 (세대),소계,147312
"2024 2/4","합계","서대문구",계 (명),소계,320010
"2024 2/4","합계","서대문구",계 (명),남자,149129
"2024 2/4","합계","서대문구",계 (명),여자,170881
"2024 2/4","합계","서대문구",한국인 (명),소계,305369
"2024 2/4","합계","서대문구",한국인 (명),남자,144660
"2024 2/4","합계","서대문구",한국인 (명),여자,160709
"2024 2/4","합계","서대문구",등록외국인 (명),소계,14641
